Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
SCV2-Week3-Mouse1	34884751	1723060	30769674	4115077
SCV2-Week3-Mouse20	22702060	1278210	19876444	2825616
SCV2-Week3-Mouse2	22754660	1167372	19967065	2787595
SCV2-Week3-Mouse3	35976213	1497464	32346587	3629626
SCV2-Week3-Mouse4	34702592	1728773	30402031	4300561
SCV2-Week3-Mouse5	39172730	1925749	34528525	4644205
SCV2-Week3-Mouse6	43925018	2212389	38961132	4963886
SCV2-Week3-Mouse7	19145269	965763	16659207	2486062
SCV2-Week3-Mouse8	23856668	1166809	21144281	2712387
SCV2-Week3-Mouse9	32395170	1328392	29049103	3346067
SCV2-Week4-Mouse10	36444194	1830976	32299984	4144210
SCV2-Week4-Mouse11	26830249	1501577	23527998	3302251
SCV2-Week4-Mouse12	24155490	1233241	21189451	2966039
SCV2-Week4-Mouse14	30761018	1655984	27075747	3685271
SCV2-Week4-Mouse15	32675159	1698949	28298398	4376761
SCV2-Week4-Mouse16	32144776	1697611	28114514	4030262
SCV2-Week4-Mouse17	28882920	1638166	25205216	3677704
SCV2-Week4-Mouse18	16769963	945003	14831431	1938532
SCV2-Week4-Mouse19	27792570	1497376	24802639	2989931
SCV2-Week4-Mouse1	24343368	1285500	21188004	3155364
SCV2-Week4-Mouse20	33926917	1842897	29960027	3966890
SCV2-Week4-Mouse2	24057458	1129109	21349068	2708390
SCV2-Week4-Mouse3	26108911	1338170	22998138	3110773
SCV2-Week4-Mouse4	30223223	1622175	26400556	3822667
SCV2-Week4-Mouse5	24603274	1198970	21435772	3167502
SCV2-Week4-Mouse6	41631234	2091768	36145717	5485517
SCV2-Week4-Mouse7	43841246	2538440	38138785	5702461
SCV2-Week4-Mouse8	25199704	1284734	21930494	3269210
SCV2-Week4-Mouse9	41942855	1729130	38283170	3659685
SCV2-Week5-Mouse10	33914132	1993792	29817157	4096975
SCV2-Week5-Mouse11	23905394	1551264	20556366	3349028
SCV2-Week5-Mouse12	33399784	1885731	29196390	4203394
SCV2-Week5-Mouse13	10647530	626611	9325468	1322062
SCV2-Week5-Mouse14	34644403	2296954	30657966	3986437
SCV2-Week5-Mouse15	32389281	2071706	28283305	4105976
SCV2-Week5-Mouse16	24131191	1785199	20268058	3863133
SCV2-Week5-Mouse17	26341436	1861775	22453665	3887771
SCV2-Week5-Mouse18	26297822	1805882	22662436	3635386
SCV2-Week5-Mouse19	24725385	1842028	20852359	3873026
SCV2-Week5-Mouse1	27379863	1725165	24447180	2932683
SCV2-Week5-Mouse20	2766164	197802	2207731	558433
SCV2-Week5-Mouse2	37107122	1484134	34035253	3071869
SCV2-Week5-Mouse3	46633567	3022763	41490581	5142986
SCV2-Week5-Mouse4	25271297	1368222	22250144	3021153
SCV2-Week5-Mouse5	23909503	1477379	21154843	2754660
SCV2-Week5-Mouse6	32460990	1895690	28273916	4187074
SCV2-Week5-Mouse7	25353095	1651860	21822550	3530545
SCV2-Week5-Mouse8	20792281	1051934	18198864	2593417
SCV2-Week5-Mouse9	18175495	992433	15693793	2481702
SCV2-Week6-Mouse10	5596976	333787	4867334	729642
SCV2-Week6-Mouse11	3201599	216915	2704666	496933
SCV2-Week6-Mouse12	32777129	1898750	28100300	4676829
SCV2-Week6-Mouse14	27029817	1773910	23338909	3690908
SCV2-Week6-Mouse15	5383297	381557	4447116	936181
SCV2-Week6-Mouse16	26918336	1951386	22822465	4095871
SCV2-Week6-Mouse17	28451106	1832471	25094337	3356769
SCV2-Week6-Mouse18	22131574	1425313	19516570	2615004
