prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
M13_2-k141_23729_frag_1	M13_2-k141_23729	dormant	0.010714453341347973	1.232991357843996	0.0078048834757829325	60266	0.04130347993878502	0.0	0.9838712242915517	0.0054923173928915145	236189	0.03349859646300209	0.0	0.30538481549644636
P15_1-k141_86587_frag_1	P15_1-k141_86587	dormant	0.2998208682277671	0.0	-0.13075033245430162	58568	0.0	0.0	0.0	0.0	221835	0.13075033245430162	0.0	0.6167312320008136
M6_2-k141_107833_frag_1	M6_2-k141_107833	dormant	0.1328111242724139	0.0	-0.009012212088421704	163834	0.0	0.0	0.0	0.0	64690	0.009012212088421704	0.0	0.09596479686661326
M19_2-k141_17184_frag_1	M19_2-k141_17184	dormant	0.2882620676428269	0.01642297921029502	-0.11203013557542911	35283	0.001870589235609217	0.0	0.04320983836485727	0.001870589235609217	154661	0.11390072481103833	0.0	0.5479186286210854
M15_2-k141_21154_frag_1	M15_2-k141_21154	dormant	0.7085733582471901	0.0038146253410501446	-0.5221942438190392	65663	0.001999603132202769	0.0	0.04467219179219743	0.001995035255775703	108044	0.524193846951242	0.0	1.0412690382000227
M5_2-k141_70993_frag_1	M5_2-k141_70993	dormant	1.0448820869876994	0.003026664033429255	-1.1658933120951398	56938	0.003539480171867296	0.0	0.07580059938536504	0.0024236889247953915	21932	1.1694327922670071	1.0	1.5761766510468946
M2_2-k141_16461_frag_1	M2_2-k141_16461	dormant	0.1310308398106878	0.004679709855693408	-0.4619620653921173	37903	0.002172012820173231	0.0	0.0658734240847391	0.0010817085718808537	13425	0.4641340782122905	0.0	4.985513319447185
B13_2-k141_57935_frag_1	B13_2-k141_57935	dormant	0.163974172829531	19.180669745413763	0.042845692520489406	35507	0.045202354465316695	0.0	0.30864462405685716	0.027938153040245585	782887	0.0023566619448272866	0.0	0.2031970450224687
B23_1-k141_4053_frag_1	B23_1-k141_4053	dormant	0.02331646043333775	0.0	-0.002578732094541972	32329	0.0	0.0	0.0	0.0	520023	0.002578732094541972	0.0	0.15640786955012045
C15_2-k141_106709_frag_1	C15_2-k141_106709	dormant	0.0	0.0	0.0	53415	0.0	0.0	0.0	0.0	440286	0.0	0.0	0.0
