Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
DRR171662	13310646	448183	11812596	1498050
DRR171663	7505256	267173	6573414	931842
DRR171673	21532336	1088161	18384524	3147812
DRR171676	20295125	537787	17953042	2342083
DRR171686	21312804	728973	17758612	3554192
DRR171689	13587190	429851	11843953	1743237
DRR171691	21510510	728458	19369802	2140708
DRR171694	20780412	569224	19160878	1619534
DRR171698	21566693	637605	19156445	2410248
DRR171700	15693295	440515	14280730	1412565
DRR171705	13956271	514186	11849119	2107152
DRR171710	19690673	1777367	16579448	3111225
DRR171711	17753999	921066	15607176	2146823
DRR171712	18814520	954527	15707060	3107460
DRR171713	19084047	651927	17005993	2078054
DRR171714	20210455	456957	17871800	2338655
DRR171715	20991999	746147	18971244	2020755
DRR171716	18581296	1051819	15929462	2651834
DRR171717	15858988	474755	13891271	1967717
DRR171718	1871384	110898	1266373	605011
DRR171719	23759273	893601	21647688	2111585
DRR171720	18406498	881594	15391057	3015441
DRR171721	1928195	152234	1503190	425005
DRR171722	17142288	448175	15579746	1562542
DRR171723	15032198	403776	12226845	2805353
DRR171724	34822435	1181997	31682040	3140395
DRR171725	20211891	580074	18465530	1746361
DRR171726	14830402	494894	13297426	1532976
DRR171727	27336534	532445	24389903	2946631
DRR171733	29330560	919290	26672006	2658554
DRR171737	19379038	754912	17110006	2269032
DRR171741	31365722	1358239	27706385	3659337
DRR171745	10315430	430582	8489197	1826233
DRR171747	23213453	927382	19930114	3283339
DRR171755	27139733	827449	21861320	5278413
DRR171762	24626468	933680	19552905	5073563
DRR171763	16084774	371603	14390131	1694643
DRR171765	17299056	643787	15418799	1880257
DRR171770	22979171	942185	20361212	2617959
DRR171771	11363338	226970	10434532	928806
DRR171772	11458923	455540	9933278	1525645
DRR171773	19071981	695509	13756677	5315304
DRR171777	30631213	875336	26642621	3988592
DRR171779	24026863	952307	20982456	3044407
DRR171782	20956023	676258	18967768	1988255
DRR171783	33194805	1910240	29461837	3732968
DRR171786	30566266	1051341	25267485	5298781
DRR171791	20212794	705389	17038139	3174655
DRR171793	18803338	1103100	16344772	2458566
DRR171796	18774894	506439	17406622	1368272
DRR171798	15433409	584955	14038095	1395314
DRR171801	16084603	366699	14523592	1561011
DRR171802	14050584	566854	12527591	1522993
DRR171807	19223569	488857	17776076	1447493
DRR171810	16969075	617037	13997010	2972065
DRR171812	13732509	360740	12146788	1585721
DRR171813	16947141	446404	15635804	1311337
DRR171816	15888487	556590	14500170	1388317
DRR171817	14997421	578502	13167334	1830087
DRR171821	16920787	836375	14581348	2339439
DRR171825	15952428	687645	14168888	1783540
DRR171829	19845339	643221	18066285	1779054
DRR171833	18114760	919837	16054011	2060749
DRR171834	17220826	421236	15481869	1738957
DRR171838	14746330	373590	13494575	1251755
DRR171840	16570014	548985	15121088	1448926
DRR171842	17808796	700144	16085448	1723348
DRR171843	17761510	609014	14769812	2991698
DRR171845	19237045	339898	17497151	1739894
DRR171849	27505920	981374	24334029	3171891
DRR171850	16061850	972416	13191852	2869998
DRR171852	23820352	615717	21483865	2336487
DRR171855	17174652	362335	13969317	3205335
DRR171856	16905190	792858	15226831	1678359
DRR171862	19030070	616032	17265763	1764307
DRR171863	13753654	586275	11863292	1890362
DRR171864	18305695	301061	16295520	2010175
DRR171865	19399357	830245	16904878	2494479
DRR171870	14171043	570768	11907846	2263197
DRR171872	15972881	380567	14708348	1264533
DRR171876	20636839	309897	18845514	1791325
DRR171886	19516099	707326	17599721	1916378
DRR171890	17524344	522930	15688763	1835581
DRR171897	33697729	1431237	28997605	4700124
DRR171899	13200035	705819	11448859	1751176
DRR171902	2122120	107423	1189790	932330
DRR171915	21581171	1208740	18641462	2939709
DRR171919	19028189	358819	16867279	2160910
DRR171921	31625556	831429	28582501	3043055
DRR171922	22479363	822281	20179766	2299597
DRR171923	22404367	1021820	19710509	2693858
DRR171925	25179860	1020555	22553155	2626705
DRR171928	19362561	756707	17064679	2297882
DRR171930	24074903	3184294	19404560	4670343
DRR171931	22875715	849801	20307530	2568185
DRR171933	28699120	1326719	24577198	4121922
DRR171934	20139495	326598	10192494	9947001
DRR171935	22388127	925442	20005949	2382178
DRR171936	15611537	600735	13750181	1861356
DRR171938	23548065	733662	21199266	2348799
DRR171939	23702016	1369266	20974620	2727396
DRR171941	16363832	1089784	14117981	2245851
DRR171942	13980914	407216	12182889	1798025
DRR171943	22396877	637874	20305433	2091444
DRR171948	19483544	698764	16927446	2556098
DRR171950	24060127	986041	21267129	2792998
DRR171951	24389376	769435	22317961	2071415
DRR171952	6764075	198356	5852200	911875
DRR171953	30368219	1313694	27109002	3259217
DRR171954	27703355	1216282	22628991	5074364
DRR171957	20665634	575816	17288945	3376689
DRR171959	23465055	883060	20546555	2918500
DRR171964	25881038	951479	22974582	2906456
DRR171965	20878202	1289690	18132516	2745686
DRR173016	14617816	529655	11652870	2964946
DRR173017	13273762	551296	11222972	2050790
