Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
SCV2-Week5-Mouse14	34644403	2296954	31759388	2885015
SCV2-Week5-Mouse15	32389281	2071706	29777494	2611787
SCV2-Week5-Mouse16	24131191	1785199	21892831	2238360
SCV2-Week5-Mouse17	26341436	1861775	24035089	2306347
SCV2-Week5-Mouse18	26297822	1805882	24059225	2238597
SCV2-Week5-Mouse19	24725385	1842028	22432493	2292892
SCV2-Week5-Mouse1	27379863	1725165	25110704	2269159
SCV2-Week5-Mouse20	2766164	197802	2501279	264885
SCV2-Week5-Mouse2	37107122	1484134	35039843	2067279
SCV2-Week5-Mouse3	46633567	3022763	42702726	3930841
SCV2-Week5-Mouse4	25271297	1368222	23491258	1780039
SCV2-Week5-Mouse5	23909503	1477379	21925409	1984094
SCV2-Week5-Mouse6	32460990	1895690	30061331	2399659
SCV2-Week5-Mouse7	25353095	1651860	23271633	2081462
SCV2-Week5-Mouse8	20792281	1051934	19419052	1373229
SCV2-Week5-Mouse9	18175495	992433	16903485	1272010
SCV2-Week6-Mouse10	5596976	333787	5160895	436081
SCV2-Week6-Mouse11	3201599	216915	2913447	288152
SCV2-Week6-Mouse12	32777129	1898750	30340472	2436657
SCV2-Week6-Mouse14	27029817	1773910	24796943	2232874
SCV2-Week6-Mouse15	5383297	381557	4888224	495073
SCV2-Week6-Mouse16	26918336	1951386	24493127	2425209
SCV2-Week6-Mouse17	28451106	1832471	26074951	2376155
SCV2-Week6-Mouse18	22131574	1425313	20284985	1846589
SCV2-Week6-Mouse19	33340063	2042831	30643718	2696345
SCV2-Week6-Mouse1	32326089	1689977	29964401	2361688
SCV2-Week6-Mouse20	10674810	696767	9734553	940257
SCV2-Week6-Mouse2	36093733	1651603	33700686	2393047
SCV2-Week6-Mouse3	38641737	2348451	35425083	3216654
SCV2-Week6-Mouse4	40757674	2204141	37766790	2990884
SCV2-Week6-Mouse5	15768277	761796	14678440	1089837
SCV2-Week6-Mouse6	32433370	1640250	30303468	2129902
SCV2-Week6-Mouse7	26798228	1667249	24666306	2131922
SCV2-Week6-Mouse8	21401757	1112264	19968983	1432774
SCV2-Week6-Mouse9	29524952	1354025	27600671	1924281
SCV2-Week7-Mouse10	35681818	2116892	32988621	2693197
SCV2-Week7-Mouse11	2214379	87277	2079173	135206
SCV2-Week7-Mouse12	7188831	430834	6624684	564147
SCV2-Week7-Mouse13	22707922	1269583	21059871	1648051
SCV2-Week7-Mouse14	26463996	1648987	24367551	2096445
SCV2-Week7-Mouse15	35119340	2180561	32357347	2761993
SCV2-Week7-Mouse16	30799250	2188213	28095394	2703856
SCV2-Week7-Mouse17	18831486	1439294	17030646	1800840
SCV2-Week7-Mouse18	32300125	2040869	29635385	2664740
SCV2-Week7-Mouse19	38491398	2463571	35325638	3165760
SCV2-Week7-Mouse1	19969856	1205178	18359544	1610312
SCV2-Week7-Mouse20	35246313	2182390	32390567	2855746
