Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
C06X034805B7	12701443	26223	12572254	129189
C06X035304I3	15065523	57956	14890725	174798
C06X036204A9	13099495	36070	13009898	89597
C06X036704A6	20392500	115318	20198819	193681
C06X041403G6	14027091	77008	13728651	298440
C06X042204F3	13782361	44297	13605142	177219
C06X043204C9	15249729	153376	14887244	362485
C09X001804E1	14849062	79385	14564953	284109
C09X009505A6	14771887	18457	14699768	72119
C09X010804D4	16428918	140740	16122523	306395
C09X011205C2	17601064	240067	17158239	442825
C09X012804F1	15807666	96763	15521971	285695
C09X013428B8	12898963	86030	12687480	211483
C09X015405B6	12979528	23332	12853304	126224
C09X017203H1	15300375	74231	15162871	137504
C09X017904A4	14035774	14038	13937742	98032
C09X019404E7	13175874	25940	13075168	100706
C09X019504D7	15303935	88419	15139920	164015
C09X020404C7	15947098	59551	15749709	197389
C09X020903I7	18678535	30654	18564382	114153
C09X023427I2	18275641	184697	17832375	443266
C09X024804E4	13702883	33977	13609396	93487
C09X026104A1	15772895	38865	15635903	136992
C09X028505D2	14751061	128096	14536596	214465
C09X030004I7	14673146	68314	14314411	358735
C09X030603H4	15077667	110697	14885983	191684
C09X033728C2	8877545	11573	8833242	44303
C09X034805B8	15056929	57003	14863114	193815
C09X035304I4	14418833	140698	14069346	349487
C09X036204B1	18805500	92337	18563837	241663
C09X036704A7	12560819	10864	12455007	105812
C09X041403G7	16858339	172796	16541157	317182
C09X042204F4	15240684	53198	15017720	222964
C09X043204D1	16198177	116060	15867752	330425
C12X001804E2	14427931	39532	14198135	229796
C12X009505A7	13056860	36853	12793237	263623
C12X010804D5	15006083	103727	14764530	241553
C12X011205C3	16983892	151314	16583528	400364
C12X012804F2	17454838	81353	17037755	417083
C12X013428B9	13791946	69157	13605793	186153
C12X017203H2	15945873	25659	15818818	127055
C12X017904A5	13571776	51692	13412138	159638
C12X019404E8	14775242	42736	14594250	180992
C12X019504D8	14597712	46805	14417635	180077
C12X020404C8	15674896	27524	15439770	235126
C12X020903I8	13496648	27550	13204025	292623
C12X024804E5	14340107	79038	13993967	346140
C12X026104A2	16727333	81051	16458219	269114
C12X028505D3	18181426	64944	18007626	173800
C12X030004I8	14696197	86321	14285078	411119
C12X030603H5	12814195	32817	12687844	126351
C12X033728C3	9582879	60637	9418820	164059
C12X034329B1	10826004	34389	10345475	480529
C12X034805B9	13720025	18042	13537991	182034
C12X035304I5	14120369	104589	13874956	245413
C12X036204B2	15280931	12212	15254052	26879
C12X036704A8	12125521	23768	12025546	99975
C12X039128F1	13463683	59188	13275318	188365
C12X041403G8	14290296	24681	14115093	175203
C12X042204F5	12827869	50503	12651544	176325
C12X043204D2	15423229	29606	15243316	179913
D01X04222I05	12273024	39386	12118007	155017
D02X03372D09	14153829	30272	14092464	61365
D02X04222F01	14312384	132768	14127517	184867
D03X03372D05	18487899	116095	18174962	312937
D03X04222C04	13748716	24459	13642263	106453
D06X033728C6	9385790	25395	9263432	122358
D06X042204F6	16989226	65987	16859343	129883
D09X033728C4	10211395	28698	10005874	205521
D09X042204F7	13487542	45854	13282397	205145
D12X033728C5	8616328	57439	8424362	191966
D12X042204F8	19448450	55301	19223074	225376
LN_4A01_VL_218	10413439	675783	9361612	1051827
LN_4A02_VL_219	12373974	24147	12196142	177832
LN_4A04_VL_221	14340074	245241	13688180	651894
LN_4A05_VL_222	10361254	18078	10087418	273836
LN_4A07_VL_224	14163204	273733	13730488	432716
LN_4A09_VL_226	9373870	30284	9104672	269198
LN_4B01_VL_227	12421357	7096	12259350	162007
LN_4B02_VL_228	15457231	159367	15136317	320914
LN_4B03_VL_229	7162534	167266	6865745	296789
LN_4B04_VL_230	10590580	189542	10038701	551879
LN_4B05_VL_231	8904879	105843	8629382	275497
LN_4B06_VL_232	10004185	49092	9704216	299969
LN_4B07_VL_233	11755846	148580	11400431	355415
LN_4D08_VL_252	11592562	12232	11499541	93021
LN_4D09_VL_253	11321186	9538	11261298	59888
LN_4E02_VL_255	14269765	121542	13998454	271311
LN_4E03_VL_256	16310263	60411	16089359	220904
LN_4E07_VL_260	15749517	881677	13820455	1929062
LN_4E08_VL_261	10624730	9949	10566606	58124
LN_4E09_VL_262	14207609	81891	13992549	215060
LN_4F01_VL_263	12118895	176171	11608217	510678
LN_4F02_VL_264	15166860	68555	14852924	313936
LN_4F03_VL_265	14985612	22206	14792424	193188
LN_4F04_VL_266	14384405	32004	14255908	128497
LN_4F05_VL_267	12081984	68882	11868929	213055
