Samp_Name	Tot_Samp_Reads	Unassigned_Step_One	Assigned_Step_Three	Unassigned_Step_Three
SRR9660155	488588	44908	363921	124667
SRR9660181	390391	12576	354185	36206
SRR9660182	387174	44561	331697	55477
SRR9660201	343470	3745	328088	15382
SRR9660208	367697	42195	256629	111068
SRR9660209	617203	9034	578456	38747
SRR9670853	1707749	81992	1588324	119425
SRR9670854	5838797	360360	5380619	458178
SRR9670855	2424177	125553	2243705	180472
SRR9670856	7292040	417896	6755194	536846
SRR9670857	4999344	164569	4693326	306018
SRR9670858	4636514	302659	4225919	410595
SRR9670859	10332066	252868	9933667	398399
SRR9670860	5929390	179723	5613648	315742
SRR9670861	2337967	75202	2204302	133665
SRR9670862	1503614	45725	1412997	90617
SRR9670863	8858653	417675	8240794	617859
SRR9670864	7726269	238404	7303436	422833
SRR9670865	5221493	263433	4874261	347232
SRR9670866	5963246	250655	5613621	349625
SRR9670867	6477973	182619	6156524	321449
SRR9670868	2863428	406526	2356479	506949
SRR9670869	5399764	301216	4939991	459773
SRR9670870	9069308	257063	8713799	355509
SRR9670871	8117426	94624	7931443	185983
SRR9670872	7601529	172087	7317247	284282
SRR9670873	10697463	562247	9777681	919782
SRR9670874	5768781	189799	5485913	282868
SRR9670875	10005044	397996	9365182	639862
SRR9670876	6756824	340657	6292135	464689
SRR9670877	9451550	274502	8955502	496048
SRR9670878	10427424	377679	9868097	559327
SRR9670879	5862201	267808	5439362	422839
SRR9670880	7928644	228373	7577886	350758
SRR9670881	4649159	200328	4330565	318594
SRR9670882	8927274	339832	8403701	523573
SRR9670883	9725161	577554	8978459	746702
SRR9670884	4307213	183500	4028235	278978
SRR9670885	7954388	277362	7522417	431971
SRR9670886	2380143	130222	2194449	185694
SRR9670887	8237033	236542	7868727	368306
SRR9670888	7944073	623622	7060619	883454
SRR9670889	7734661	436196	7164375	570286
SRR9670890	7698066	447595	6818983	879083
SRR9670891	8216512	325955	7710232	506280
SRR9670892	2440475	117454	2252372	188103
SRR9670893	7075030	342830	6622516	452514
SRR9670894	7689739	532662	7021427	668312
SRR9670895	9109282	369511	8526649	582633
SRR9670896	6773442	222718	6356193	417249
SRR9670897	6631295	218231	6294626	336669
SRR9670898	7401704	246617	7068286	333418
SRR9670899	6650280	371699	6125010	525270
SRR9670900	3648211	147232	3413497	234714
SRR9670901	6689158	207407	6366212	322946
SRR9670902	7311255	460317	6699486	611769
SRR9670904	2375056	153183	2178149	196907
SRR9670905	10045778	557895	9343351	702427
SRR9670906	9682134	255078	9210161	471973
SRR9670907	8873851	557359	8146283	727568
SRR9670908	4350831	267783	3998832	351999
SRR9670909	5251365	88132	5106284	145081
SRR9670911	7915804	282782	7373807	541997
SRR9670912	9410532	312080	8972831	437701
SRR9670913	6354392	259517	5983167	371225
SRR9670914	9153195	407314	8591267	561928
SRR9670915	7733773	261412	7337720	396053
SRR9670916	10007925	693267	9085686	922239
SRR9670917	1314544	44158	1228859	85685
SRR9670918	5937016	279654	5526033	410983
SRR9670919	2032347	83025	1903068	129279
SRR9670920	10483811	297331	10023973	459838
SRR9670921	8095531	232267	7686298	409233
SRR9670922	16355157	491817	15536946	818211
SRR9670923	6186444	193119	5902015	284429
SRR9670924	7427070	341174	6796319	630751
SRR9670925	10644020	651723	9791130	852890
SRR9670926	8140651	221278	7796241	344410
SRR9670927	7881516	310920	7376592	504924
SRR9670928	7549489	310174	7072852	476637
SRR9670929	9641894	303857	9194695	447199
SRR9670930	6820125	288083	6392091	428034
SRR9670931	6857393	444350	6222614	634779
SRR9670932	5573275	134537	5369140	204135
SRR9670933	1465150	91445	1329953	135197
SRR9670934	11708496	455152	11066984	641512
SRR9670935	7322965	434017	6693055	629910
