prophage	host	active	CohenD	prophage-host_ratio	mean_difference	prophage_len	prophage_mean_cov	prophage_median_cov	prophage_sd_cov	prophage_cov_breadth	host_len	host_mean_cov	host_median_cov	host_sd_cov
D3_2-k141_15527_frag_1	D3_2-k141_15527	dormant	0.05418315762451717	0.0	-0.002931511383247831	43596	0.0	0.0	0.0	0.0	42299	0.002931511383247831	0.0	0.07651424055367866
B23_2-k141_27486_frag_1	B23_2-k141_27486	dormant	0.06217991717698662	0.0	-0.003395816354251562	40532	0.0	0.0	0.0	0.0	44172	0.003395816354251562	0.0	0.07723409360359094
B3_2-k141_95580_frag_1	B3_2-k141_95580	dormant	0.39684812004089143	0.0902158180159069	-0.14382608055406945	49652	0.014262050018181083	0.0	0.12192904537940012	0.013816160476919359	35107	0.15808813057225055	0.0	0.49782650259675887
C3_2-k141_45883_frag_1	C3_2-k141_45883	dormant	0.052421054855023616	0.5912476045145028	-0.011940509092662612	33268	0.017271574370432998	0.0	0.25856431763655596	0.004538896236623783	48165	0.02921208346309561	0.0	0.19212669477343344
A18_2-k141_31907_frag_1	A18_2-k141_31907	dormant	0.7606759786242766	0.0	-0.37207177086816	36367	0.0	0.0	0.0	0.0	44865	0.37207177086816	0.0	0.6917386105573723
C23_2-k141_82160_frag_1	C23_2-k141_82160	dormant	0.1176058126350979	0.0	-0.006868067028557942	37335	0.0	0.0	0.0	0.0	42370	0.006868067028557942	0.0	0.08258872007637005
A19_2-k141_84185_frag_1	A19_2-k141_84185	dormant	0.10130062637456021	0.0	-0.005104716618300059	50872	0.0	0.0	0.0	0.0	28601	0.005104716618300059	0.0	0.07126470715964127
A16_2-k141_27923_frag_1	A16_2-k141_27923	dormant	0.13895366156087297	0.27388416150985967	-0.021688077425820875	49141	0.008180541706517979	0.0	0.09007563734938029	0.008180541706517979	29228	0.029868619132338854	0.0	0.20151715985064705
B15_2-k141_8904_frag_1	B15_2-k141_8904	dormant	0.1311759658370768	0.17797063650520833	-0.020604048703840715	28396	0.004460808610068682	0.0	0.09434891841821637	0.002218622341174813	50110	0.025064857313909398	0.0	0.2011004716676387
A8_2-k141_9489_frag_1	A8_2-k141_9489	dormant	0.06703892942414863	2.0477806301850268	0.0064676315788925595	34651	0.012640327840466365	0.0	0.11171638175555475	0.012640327840466365	43093	0.006172696261573805	0.0	0.07832364957301831
C23_1-k141_18099_frag_1	C23_1-k141_18099	dormant	0.018434852834459683	0.8820807141159602	-0.0029086174003296154	72125	0.021757554706495312	0.0	0.1604062084522618	0.019493934142114384	5392	0.024666172106824927	0.0	0.15510561582490268
B11_2-k141_49844_frag_1	B11_2-k141_49844	dormant	0.1921427767336698	0.09022473083175332	-0.04972746521847015	29755	0.004931599391994596	0.0	0.07005197155991766	0.004906738363300286	47531	0.05465906461046475	0.0	0.3592388187248824
C23_2-k141_20906_frag_1	C23_2-k141_20906	dormant	0.16453403923775184	0.0	-0.015350056158742045	34259	0.0	0.0	0.0	0.0	42736	0.015350056158742045	0.0	0.13193779052317073
C22_2-k141_1701_frag_1	C22_2-k141_1701	dormant	0.09871901092370955	0.6056747387400864	-0.03363476029567734	36637	0.05166223586482857	0.0	0.3530391325110077	0.02874143625296831	39849	0.08529699616050591	0.0	0.3279219787731483
C5_2-k141_87282_frag_1	C5_2-k141_87282	dormant	0.7672295783576706	0.0	-0.45266732509842655	2151	0.0	0.0	0.0	0.0	73913	0.45266732509842655	0.0	0.8343894558493015
A9_2-k141_173629_frag_1	A9_2-k141_173629	dormant	0.04995932997838866	0.0	-0.0012464118446895301	48898	0.0	0.0	0.0	0.0	26476	0.0012464118446895301	0.0	0.035282549542295795
A19_2-k141_39744_frag_1	A19_2-k141_39744	dormant	0.0	0.0	0.0	51024	0.0	0.0	0.0	0.0	24081	0.0	0.0	0.0
A9_2-k141_210000_frag_1	A9_2-k141_210000	dormant	0.08663802799744848	3.3205109181628645	0.010228236748356573	31771	0.01463598879481288	0.0	0.1532535386415373	0.01010355355512889	42879	0.004407752046456308	0.0	0.06624442443220878
C11_2-k141_202524_frag_1	C11_2-k141_202524	dormant	0.1272609278659957	0.010621340000335587	0.010621340000335587	59747	0.010621340000335587	0.0	0.1180318525955368	0.00888747552178352	14729	0.0	0.0	0.0
C17_2-k141_70316_frag_1	C17_2-k141_70316	dormant	0.22279401818749067	0.04732799653829511	0.04732799653829511	37126	0.04732799653829511	0.0	0.30042051904678063	0.03439637989549103	36346	0.0	0.0	0.0
C17_2-k141_32380_frag_1	C17_2-k141_32380	dormant	0.13522216255317449	0.009059688272132523	0.009059688272132523	64501	0.009059688272132523	0.0	0.09475025235071202	0.009038619556285949	4196	0.0	0.0	0.0
B23_2-k141_41781_frag_1	B23_2-k141_41781	dormant	0.0402123456778268	0.0	-0.0008078632018311566	31180	0.0	0.0	0.0	0.0	37135	0.0008078632018311566	0.0	0.028411451192755153
C1_2-k141_202200_frag_1	C1_2-k141_202200	dormant	0.05475454709931976	0.5698537308303622	-0.008592792373518326	46708	0.01138365050045105	0.0	0.12876627001077448	0.008692301104735805	21225	0.019976442873969377	0.0	0.18076268054298866
A3_2-k141_265745_frag_1	A3_2-k141_265745	dormant	0.057800178035540294	0.0	-0.0016676446064049905	35475	0.0	0.0	0.0	0.0	32381	0.0016676446064049905	0.0	0.04080273971035415
C20_2-k141_21354_frag_1	C20_2-k141_21354	dormant	0.17013226130199882	0.0	-0.015717757066838915	2266	0.0	0.0	0.0	0.0	65022	0.015717757066838915	0.0	0.1306528523391113
A9_2-k141_57957_frag_1	A9_2-k141_57957	dormant	0.04774862349836983	0.0	-0.0011386674813230761	29441	0.0	0.0	0.0	0.0	36007	0.0011386674813230761	0.0	0.03372493021029778
C20_2-k141_15705_frag_1	C20_2-k141_15705	dormant	0.2693775857914195	0.17595419267904078	-0.07364944157805979	37286	0.015725980180956483	0.0	0.12441331813076684	0.0156627152282358	26674	0.08937542175901628	0.0	0.3660914926285725
